# Various filters measured in 2007 (transmittances %)
Wavelength  rosco226	rosco00	PE	PET	solatrol	luminance	PETPET	PEPE	2rosco00	2rosco226	PEPET	PErosco226	PETrosco226	PETrosco00	2rosco
337	0.3	83.9	89.1	76.9	0	0.8	59.8	79.7	70.7	0.2	68.6	0.2	0.3	64.9	0.2
338	0.3	84.2	88.9	77.3	0	0.9	60.6	79.5	71.2	0.2	69	0.2	0.3	65.5	0.2
339	0.3	84.3	89	77.8	0	1	61.3	79.6	71.7	0.2	69.6	0.2	0.3	66.2	0.2
340	0.3	84.4	88.9	78.3	0	1	61.9	79.5	72	0.2	70.1	0.2	0.3	66.7	0.2
341	0.3	84.5	88.9	78.9	0	1.1	62.5	79.4	72.3	0.2	70.3	0.2	0.3	67.2	0.2
342	0.3	84.8	88.9	79.2	0	1.2	63.1	79.6	72.6	0.2	70.5	0.2	0.3	67.6	0.2
343	0.3	85.1	89	79.7	0	1.3	63.7	79.7	72.9	0.2	70.9	0.2	0.3	68	0.2
344	0.3	85.3	89.1	80.4	0	1.5	64.5	79.8	73.3	0.2	71.4	0.2	0.3	68.6	0.2
345	0.3	85.5	89.2	80.9	0	1.7	65.2	80.1	73.7	0.2	72.1	0.2	0.3	69.2	0.2
346	0.2	85.7	89.4	81.3	0	1.8	65.8	80.3	73.8	0.2	72.4	0.2	0.3	69.6	0.2
347	0.2	85.8	89.2	81.7	0	2	66.5	80	74	0.2	72.5	0.2	0.3	70.1	0.2
348	0.2	85.8	88.8	81.8	0	2.3	67.1	79.6	74	0.2	72.8	0.2	0.3	70.5	0.2
349	0.2	85.7	88.6	82	0	2.6	67.6	79.4	74	0.2	73.2	0.2	0.3	70.6	0.2
350	0.2	85.8	88.8	82.3	0	2.9	68.2	79.6	74.4	0.2	73.4	0.2	0.3	71.1	0.2
351	0.2	86.1	89	82.7	0	3.3	69	79.9	74.8	0.2	73.8	0.2	0.3	71.8	0.2
352	0.2	86.4	89.3	83.4	0	3.7	69.6	80.2	75.2	0.2	74.3	0.2	0.3	72.1	0.2
353	0.2	86.5	89.3	83.7	0	4.1	70.1	80.3	75.6	0.2	74.5	0.2	0.3	72.2	0.2
354	0.2	86.3	89.1	83.7	0	4.6	70.4	80	75.5	0.2	74.7	0.2	0.3	72.6	0.2
355	0.2	86.5	88.9	84.1	0.1	5.2	70.9	80.1	75.7	0.1	75.1	0.2	0.3	73.1	0.2
356	0.2	86.7	89.1	84.6	0.1	5.7	71.4	80.2	76	0.1	75.3	0.2	0.2	73.3	0.2
357	0.2	86.9	89.1	84.8	0.1	6.3	71.7	80.1	75.9	0.2	75.5	0.2	0.2	73.5	0.2
358	0.2	87.1	89.2	84.9	0.1	7.1	72.2	80.3	76	0.2	75.9	0.2	0.2	74	0.2
359	0.2	87	89.3	85.2	0.2	7.8	73	80.4	76.2	0.2	76.4	0.2	0.2	74.3	0.2
360	0.2	87	89.3	85.6	0.2	8.6	73.5	80.2	76.2	0.1	76.7	0.2	0.2	74.5	0.2
361	0.2	87.1	89.3	85.8	0.3	9.5	73.8	80	76.3	0.1	76.7	0.2	0.2	74.9	0.2
362	0.2	87.1	89.2	85.8	0.4	10.3	74.2	79.9	76.4	0.1	76.9	0.2	0.2	75	0.2
363	0.2	87.2	89.2	86.2	0.5	11.2	74.7	80	76.5	0.1	77.2	0.1	0.2	75.3	0.2
364	0.2	87.2	89.2	86.6	0.6	12.2	75.2	80	76.7	0.1	77.6	0.1	0.2	75.8	0.1
365	0.2	87.2	89.3	86.8	0.8	13.3	75.7	80.1	76.7	0.1	77.8	0.1	0.2	76.1	0.1
366	0.1	87.3	89.3	87.1	1	14.2	76.1	80.2	76.9	0.1	78.1	0.1	0.2	76.3	0.1
367	0.1	87.4	89.3	87.5	1.2	15.3	76.6	80.2	77	0.1	78.3	0.1	0.2	76.7	0.1
368	0.1	87.4	89.3	87.8	1.5	16.3	77.1	80.1	77	0.1	78.5	0.1	0.2	76.9	0.1
369	0.1	87.3	89.2	87.9	1.8	17.4	77.5	80.1	77.1	0.1	78.7	0.1	0.1	77.1	0.1
370	0.1	87.4	89.2	88.1	2.2	18.5	77.9	80.1	77	0.1	78.9	0.1	0.1	77.4	0.1
371	0.1	87.4	89.2	88.2	2.6	19.6	78.2	80.1	77.1	0.1	79.1	0.1	0.1	77.6	0.1
372	0.1	87.4	89.3	88.4	3.1	20.8	78.6	80.2	77.2	0.1	79.3	0.1	0.1	77.8	0.1
373	0.1	87.5	89.3	88.6	3.6	21.9	78.9	80.2	77.3	0.1	79.4	0.1	0.1	78	0.1
374	0.1	87.6	89.4	88.8	4.1	23.1	79.1	80.2	77.5	0.1	79.7	0.1	0.2	78.3	0.1
375	0.1	87.6	89.4	88.9	4.7	24.2	79.5	80.2	77.6	0.1	79.8	0.1	0.2	78.4	0.1
376	0.2	87.8	89.4	89.1	5.3	25.3	79.8	80.3	77.8	0.1	80	0.2	0.2	78.6	0.2
377	0.2	87.9	89.4	89.4	6	26.5	80	80.4	77.9	0.1	80.1	0.2	0.3	78.8	0.2
378	0.3	87.9	89.4	89.6	6.7	27.6	80.3	80.3	77.9	0	80.1	0.3	0.3	78.8	0.3
379	0.4	87.9	89.4	89.7	7.5	28.8	80.6	80.4	77.9	0.1	80.2	0.4	0.4	79	0.4
380	0.6	87.9	89.4	89.7	8.3	29.9	80.8	80.5	78	0.1	80.5	0.6	0.6	79.2	0.6
381	0.8	87.9	89.5	89.7	9.3	31.1	80.9	80.4	78	0.1	80.7	0.8	0.8	79.3	0.8
382	1.1	87.9	89.5	89.9	10.3	32.3	81	80.4	78	0.1	80.7	1.1	1.2	79.4	1.1
383	1.6	88	89.5	90	11.5	33.6	81.2	80.4	78.1	0.1	80.7	1.6	1.6	79.5	1.6
384	2.2	88	89.4	90.1	12.7	34.8	81.5	80.5	78.1	0.1	80.8	2.1	2.2	79.6	2.1
385	2.9	88	89.4	90.2	14	36.1	81.7	80.5	78.2	0.2	81	2.9	2.9	79.8	2.8
386	3.9	88	89.5	90.2	15.5	37.4	81.8	80.5	78.3	0.3	81.1	3.8	3.8	79.9	3.7
387	5.1	88	89.4	90.2	17.1	38.8	81.7	80.4	78.2	0.4	81.1	4.9	5	80	4.9
388	6.6	88	89.4	90.3	18.9	40.3	81.8	80.4	78.3	0.6	81.1	6.3	6.4	80	6.2
389	8.4	88.1	89.5	90.4	20.9	41.7	82.1	80.5	78.4	1	81.2	7.9	8.1	80.1	7.9
390	10.5	88.2	89.5	90.6	23	43.1	82.4	80.6	78.5	1.4	81.3	9.9	10	80.3	9.8
391	12.9	88.3	89.5	90.7	25.2	44.6	82.5	80.6	78.6	2.1	81.5	12.1	12.3	80.4	12
392	15.8	88.3	89.6	90.8	27.6	46.2	82.6	80.6	78.6	3	81.5	14.7	14.9	80.5	14.6
393	19	88.4	89.5	90.9	30	47.7	82.8	80.6	78.7	4.2	81.6	17.6	17.7	80.6	17.4
394	22.3	88.5	89.6	90.9	32.5	49.2	82.9	80.7	78.7	5.7	81.7	20.6	20.9	80.8	20.4
395	26	88.4	89.6	90.9	35	50.6	83.1	80.7	78.7	7.6	81.7	23.9	24.2	80.9	23.6
396	29.8	88.4	89.6	90.9	37.6	52	83.2	80.6	78.7	9.8	81.8	27.4	27.7	81	27.1
397	33.7	88.5	89.5	91.1	40	53.3	83.3	80.7	78.9	12.4	81.9	30.9	31.3	80.9	30.6
398	37.7	88.5	89.5	91.3	42.3	54.6	83.5	80.7	78.9	15.2	82	34.5	35	81	34.1
399	41.6	88.5	89.6	91.2	44.6	55.7	83.5	80.7	79	18.3	82.1	38	38.7	81.1	37.6
400	45.4	88.5	89.6	91.3	46.6	56.8	83.5	80.8	79	21.6	82.2	41.4	42.1	81.2	41
401	49.3	88.4	89.6	91.4	48.5	57.8	83.7	80.8	79	25.2	82.2	44.9	45.6	81.3	44.4
402	53.1	88.5	89.7	91.4	50.3	58.7	83.8	80.7	79.1	29	82.3	48.2	49	81.3	47.7
403	56.6	88.5	89.6	91.4	51.9	59.5	83.9	80.8	79.2	32.8	82.3	51.3	52.2	81.4	50.7
404	60	88.5	89.7	91.5	53.3	60.2	84	80.9	79.2	36.7	82.3	54.3	55.2	81.4	53.6
405	63.1	88.5	89.7	91.6	54.6	61	84.2	80.9	79.2	40.6	82.4	57	58.1	81.5	56.4
406	66	88.6	89.7	91.6	55.8	61.6	84.2	80.9	79.3	44.2	82.4	59.6	60.6	81.5	59
407	68.4	88.6	89.6	91.6	56.9	62.1	84.2	80.8	79.3	47.4	82.5	61.9	63	81.6	61.2
408	70.6	88.6	89.6	91.7	57.9	62.7	84.3	80.9	79.3	50.5	82.6	64	65.1	81.7	63.3
409	72.5	88.7	89.7	91.7	58.8	63.1	84.5	80.8	79.4	53.4	82.6	65.9	67.1	81.8	65.2
410	74.2	88.7	89.7	91.8	59.6	63.4	84.5	80.9	79.4	56	82.6	67.4	68.8	81.8	66.8
411	75.7	88.6	89.6	91.8	60.2	63.7	84.5	80.9	79.4	58.3	82.7	68.9	70.4	81.8	68.2
412	77.3	88.6	89.6	91.9	60.8	63.9	84.6	80.9	79.3	60.5	82.7	70.2	71.7	81.9	69.5
413	78.9	88.7	89.8	92	61.4	64.3	84.7	80.9	79.4	62.7	82.8	71.4	72.9	82	70.7
414	80.2	88.8	89.8	92	62	64.5	84.7	80.9	79.4	64.8	82.9	72.4	73.9	82	71.7
415	81.3	88.8	89.7	92	62.4	64.6	84.8	80.9	79.5	66.5	82.8	73.3	74.8	82.1	72.6
416	82.4	88.8	89.8	91.9	62.9	64.7	84.9	80.9	79.5	68.2	83	74.2	75.6	82	73.3
417	83.3	88.8	89.8	92.1	63.3	65	85	81	79.6	69.7	82.9	75.1	76.5	82	74.2
418	83.9	88.8	89.8	92.2	63.7	65.2	85	81	79.6	70.9	82.9	75.8	77.2	82.1	75
419	84.2	88.8	89.7	92.1	64.1	65.3	84.9	81	79.5	71.7	82.9	76.2	77.9	82.1	75.4
420	84.4	88.8	89.7	92	64.5	65.3	85	81	79.5	72.4	82.9	76.7	78.4	82.1	75.9
421	84.6	88.8	89.7	92	64.9	65.5	85	81.1	79.6	72.9	83	77.1	78.8	82.1	76.3
422	84.9	88.9	89.7	92.2	65.2	65.5	85.1	81	79.7	73.3	83	77.4	79.2	82.2	76.7
423	85.2	88.9	89.7	92.2	65.5	65.7	85.1	81	79.7	73.8	83.1	77.6	79.5	82.3	77.1
424	85.6	88.9	89.8	92.2	66	65.8	85.2	81	79.7	74.3	83.1	77.9	79.8	82.4	77.3
425	86.1	88.9	89.9	92.3	66.3	65.9	85.3	81.1	79.8	74.9	83.1	78.1	80	82.4	77.5
426	86.6	89	89.8	92.3	66.7	65.9	85.3	81.1	79.7	75.7	83.2	78.4	80.2	82.5	77.7
427	87.2	89	89.8	92.3	67.1	66	85.4	81.2	79.8	76.4	83.2	78.6	80.4	82.5	77.9
428	87.6	89	89.9	92.3	67.5	66	85.4	81.2	79.9	77.1	83.2	78.8	80.6	82.5	78.1
429	87.9	89	89.8	92.3	67.8	66	85.4	81.1	79.9	77.6	83.2	79.1	80.8	82.5	78.4
